id,code,name
1,AZ,"'"fr'"=>'"Agriculture sylviculture et pêche'""
2,BZ,"'"fr'"=>'"Industries extractives'""
3,CA,"'"fr'"=>'"Fabrication de denrées alimentaires de boissons et de produits à base de tabac'""
4,CB,"'"fr'"=>'"Fabrication de textiles industries de l''habillement industrie du cuir et de la chaussure'""
5,CC,"'"fr'"=>'"Travail du bois industries du papier et imprimerie'""
6,CD,"'"fr'"=>'"Cokéfaction et raffinage'""
7,CE,"'"fr'"=>'"Industrie chimique'""
8,CF,"'"fr'"=>'"Industrie pharmaceutique'""
9,CG,"'"fr'"=>'"Fabrication de produits en caoutchouc et en plastique ainsi que d''autres produits minéraux non métalliques'""
10,CH,"'"fr'"=>'"Métallurgie et fabrication de produits métalliques à l''exception des machines et des équipements'""
11,CI,"'"fr'"=>'"Fabrication de produits informatiques électroniques et optiques'""
12,CJ,"'"fr'"=>'"Fabrication d''équipements électriques'""
14,CL,"'"fr'"=>'"Fabrication de matériels de transport'""
15,CM,"'"fr'"=>'"Autres industries manufacturières ; réparation et installation de machines et d''équipements'""
16,DZ,"'"fr'"=>'"Production et distribution d''électricité de gaz de vapeur et d''air conditionné'""
17,EZ,"'"fr'"=>'"Production et distribution d''eau ; assainissement gestion des déchets et dépollution'""
18,FZ,"'"fr'"=>'"Construction'""
13,CK,"'"fr'"=>'"Fabrication de machines et équipements'""
19,ZZ,"'"fr'"=>'"Autre'""
